n gru grulo gruhi nc24 nc24lo nc24hi deep deeplo deephi
264 7.598320e-03 7.598320e-03 2.088856e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
266 5.307774e-03 5.307774e-03 1.229366e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
268 6.756326e-03 6.756326e-03 1.275519e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
270 6.256402e-03 6.256402e-03 1.554865e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
272 7.502953e-03 7.502953e-03 1.212190e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
274 5.126754e-03 5.126754e-03 1.195579e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
276 4.765376e-03 4.765376e-03 1.124023e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
278 5.000731e-03 5.000731e-03 1.424729e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
280 5.015820e-03 5.015820e-03 1.965153e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
282 5.382821e-03 5.382821e-03 1.592908e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
284 7.584304e-03 7.584304e-03 1.866174e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
286 6.830921e-03 6.830921e-03 1.717432e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
288 4.396459e-03 4.396459e-03 1.438516e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
290 4.838794e-03 4.838794e-03 1.970731e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
292 4.282246e-03 4.282246e-03 1.085506e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
294 7.484168e-03 7.484168e-03 1.374862e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
296 9.284337e-03 9.284337e-03 1.676854e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
298 5.254606e-03 5.254606e-03 1.302420e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
300 5.669484e-03 5.669484e-03 1.477239e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
302 5.745371e-03 5.745371e-03 1.727981e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
304 5.268584e-03 5.268584e-03 1.220706e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
306 6.212771e-03 6.212771e-03 1.462533e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
308 5.987535e-03 5.987535e-03 1.638336e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
310 4.922221e-03 4.922221e-03 1.913138e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
312 4.205912e-03 4.205912e-03 1.461239e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
314 4.632195e-03 4.632195e-03 2.431946e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
316 6.273558e-03 6.273558e-03 2.377089e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
318 4.706676e-03 4.706676e-03 1.242216e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
320 5.514721e-03 5.514721e-03 1.182186e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
322 5.463789e-03 5.463789e-03 1.395098e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
324 4.320582e-03 4.320582e-03 1.372869e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
326 4.851421e-03 4.851421e-03 1.317753e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
328 5.030046e-03 5.030046e-03 1.215174e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
330 4.585186e-03 4.585186e-03 8.854349e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
332 5.246927e-03 5.246927e-03 9.877175e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
334 5.066176e-03 5.066176e-03 1.400999e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
336 3.343711e-03 3.343711e-03 1.078853e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
338 2.837638e-03 2.837638e-03 9.229794e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
340 2.783328e-03 2.783328e-03 1.127612e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
342 3.382683e-03 3.382683e-03 9.623502e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
344 5.726477e-03 5.726477e-03 1.098603e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
346 6.929080e-03 6.929080e-03 1.555635e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
348 5.079806e-03 5.079806e-03 1.094061e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
350 3.378302e-03 3.378302e-03 1.232953e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
352 2.524982e-03 2.524982e-03 8.632722e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
354 3.117055e-03 3.117055e-03 9.834957e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
356 3.389940e-03 3.389940e-03 1.421319e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
358 3.257900e-03 3.257900e-03 1.461062e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
360 2.790883e-03 2.790883e-03 9.508346e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
362 3.503054e-03 3.503054e-03 1.069606e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
364 3.884554e-03 3.884554e-03 1.169489e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
366 2.770136e-03 2.770136e-03 9.300381e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
368 2.916803e-03 2.916803e-03 1.127076e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
370 2.388035e-03 2.388035e-03 8.263543e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
